study.ID,action.name,synopsis,summary,simplifieddesign,year,country,continent,correct,corrected category
8520,Fit mesh escape panels/windows to a trawl net,Marine Fish Conservation,"A replicated, paired, controlled study in 2008 of a seabed area in the North Sea, off Scotland, UK (Campbell et al. 2010) found that fitting escape panels of large diamond mesh in the forward sections of a bottom trawl net reduced catches of unwanted Atlantic cod Gadus morhua, compared to trawl nets with sections of standard mesh size. Fewer cod were caught in the trawl net with escape panels than without (with: 3–511 kg/tow, standard mesh: 7–1,019 kg/tow), was dependent on length (45% fewer cod at 35 cm and 19% fewer cod at 80 cm), and the reduction significant for cod up to 78 cm in length. In addition, catches of smaller monkfish Lophius piscatorius and megrim Lepidorhombus whiffiagonis were reduced, by 37% at 37 cm and 43% at all lengths, respectively (with: 0–261 kg, without: 0–319 kg), and were similar for haddock Melanogrammus aeglefinus and whiting Merlangius merlangus (with: 20–927 kg, without: 17–804 kg). Data were collected in October-November 2008 from 30 paired trawl deployments on a commercial twin rig trawler on bottom fishing grounds 65 miles west of Shetland. The vessel towed identical nets apart from the test net having two panels in the top section and one in the bottom and wings made from 300 mm diamond mesh netting instead of the standard 160 mm diamond mesh (‘Orkney Gear’ - see paper for specifications). Catches from each net were sorted by species and weighed. Lengths of selected species were measured.",Control-Impact,2010,United Kingdom,Europe,Yes,NA
8278,Cease or prohibit all types of fishing in a marine protected area,Marine Fish Conservation,"A replicated, paired, site comparison study in 2009–2010 of four estuaries in the Tasman Sea, New South Wales, Australia (McKinley et al. 2011) found higher average abundance of commercially targeted fish and similar species number in marine park zones where all fishing has been prohibited for four to eight years, compared to partially fished park zones, but there was a lower abundance of targeted fish and a different overall fish assemblage than unprotected fished estuaries. Abundance in no fishing park zones was higher than fished park zones for all targeted fish (no fishing: 3.9, fished: 1.5 count/camera drop), and individually for pink snapper Pagrus auratus (no fishing: 0.9, fished: 0.1 count/camera drop), but was similar for silver trevally Pseudocaranx georgianus and yellowfin bream Acanthopagrus australis (trevally: 1.0 vs 0.0, bream: 0.2 vs 0.1). The number of fish species (no fishing: 6.3, fished: 4.8) and maximum abundance of all fish (no fishing: 27, fished: 45 fish/camera drop) were similar in non-fished and fished park zones. In addition, targeted fish abundance was higher in estuaries without marine parks (12 fish/camera drop) and had a different fish assemblage (data reported graphically). Four estuaries, in New South Wales (100–400 km apart) were randomly sampled from November 2009 to March 2010 using baited remote underwater video. Two estuaries were marine parks (four and eight years old), zoned into no fishing areas and areas where some commercial and recreational fishing (netting and trapping) was permitted. The other two estuaries had no conservation designation and although most commercial fishing was banned they were intensively fished recreationally.",Control-Impact,2011,Australia,Oceania,Yes,NA
6095,Other biodiversity: Restore habitat along watercourses,Mediterranean Farmland,"A replicated study in 1987–1988 in three riparian meadows in the northern Sierra Nevada, California, USA, found that Geyer willow Salix geyeriana cuttings planted on the stream bottom had a higher survival rate than those planted in the streambank or terrace. Plants: Out of 2,700 cuttings, 32% survived in 1987 and 26% survived in 1988. Implementation options: Willow cuttings planted on the stream bottom had a higher survival rate (82%), compared to those planted on the streambank (34%) or the stream terrace (3%). Methods: Geyer willow cuttings were planted (30 cm depth, in May 1987) in three locations (stream bottom, streambank, and stream terrace). At each site, cuttings (over two years old; diameter: 10.5 mm; length: 42.3 cm) were planted along thirty transects perpendicular to the stream, crossing the stream, and extending 10 m from the top of both banks. Survival was measured in September 1987 and 1988. ",After,1991,United States,North America,Yes,NA
6095,Other biodiversity: Exclude grazers,Mediterranean Farmland,"A replicated, randomized, controlled study in 1987–1988 in pastures along three creeks in the northern Sierra Nevada, California, USA, found that Geyer willow Salix geyeriana plantings had similar survival rates in pastures without or with cattle, but fewer were grazed in pastures without cattle. Plants: Similar percentages survived in pastures without or with cattle (33% vs 18–26%), but fewer were grazed in pastures without cattle (0.2 vs 0.7–1). Methods: The cuttings (over two-years old, 10.5 mm diameter, 42.3 cm length) were planted (30 cm depth) along three creeks (Cow, Freeman, and Big Grizzly), on thirty transects (3 m apart) across each creek and extending 10 m from the top of each bank, in May 1987 (300 plantings/creek). Along each creek, three pastures were fenced: one pasture was ungrazed by cattle, one was grazed early (1987: 22 June–7 August; 1988: 21 June–1 July) and one was grazed late (1997: 4 August–23 September; 1988: 18 August–31 August). The cuttings were measured in September 1987 and 1988. ",RCT,1991,United States,North America,Yes,NA
7859,Restore or create shrubland,Terrestrial Mammal Conservation,"A site comparison study in 2009–2010 of scrubland at three sites in Mexico City, Mexico (San-José et al. 2013) found that where native shrubland vegetation was restored on degraded areas, mammal species richness was similar to that in a natural area, but more species were non-native. No statistical analyses were performed. In restored areas mammal species richness was similar (8–10 species) to that in an undisturbed shrubland (7 species). However, the restored areas had more non-native species (4 species) than did the undisturbed area (1 species). In 2005–2006, in two sites, non-native plants were removed and native shrubland vegetation was established. A nearby undisturbed shrubland was used for comparison. Small mammals were surveyed using 16 Sherman live traps on each site, over two consecutive nights, every three months, from February 2009 to May 2010. Medium-sized mammals were surveyed on day and night visits, every two weeks, from May 2009 to May 2010. Mammal latrine samples were identified to species.",Control-Impact,2013,Mexico,North America,Yes,NA
7859,Create or restore shrubland,Reptile Conservation,"A replicated, controlled study in 2009–2010 in three sites of dry scrub within a wider urban setting in Mexico City, Mexico (San-José et al. 2013) found that restoring shrubland by planting native species, removing invasive plants and constructing rock piles resulted in similar species richness, but higher abundance of lizards compared to a site with no management. Results were not statistically tested, and the effect of each intervention cannot be separated. Restored sites had a similar number of species (4 species of reptiles and amphibians) as the site with no management (3 species of reptiles and amphibians). Higher numbers of lizards were observed in the two restored sites compared to the site with no management (overall abundances not provided). In 2005–2006, restored sites (0.5 and 0.3 ha) were cleared of rubbish and exotic woody vegetation (dominated by Eucalyptus camaldulensis); replanted with native vegetation; and rock piles were constructed (2–3 m diameter and 1.2 m high). The site without management (0.3 ha) had no vegetation removal or planting or rock piles. Sites were surveyed eight times each by slow, random walks between May 2009–2010.",Control-Impact,2013,Mexico,North America,Yes,NA
10469,Restore island ecosystems,Reptile Conservation,"A replicated study in 2002–2011 in beaches on Poplar Island, Maryland, USA (Roosenburg et al. 2014) found that during the island rebuilding process, diamondback terrapins Malaclemys terrapin continued to nest on the island. Two years after island rebuilding began, 68 nests were laid on the island compared to 211 nests laid 11 years after rebuilding began. The highest number observed (282 nests) were laid five years after rebuilding began. Nest survival rates ranged from 59–85% over the period of 3–11 years after rebuilding began. Poplar Island was rebuilt from three 4 ha remnants starting in 2000 using the footprint of the island from 1850 (450 ha). A perimeter dyke was constructed in 2002 and the interior began to be filled with stone and dredged sand (expected completion in 2027). Nesting areas were monitored daily, and nests marked with flagging and covered with hardware cloth (1.25 cm2 mesh) to prevent bird predation. After 45–50 days, the hardware cloth was removed, and a metal flashing ring buried 10 cm around nests to capture hatchlings. ",After,2014,United States,North America,Yes,NA
3170,Dye baits to reduce seabird bycatch,Bird Conservation,"A randomised, replicated and controlled experiment in February 1999, in the Northwestern Islands, Hawaii, USA (Boggs 2001), found that dyeing squid bait blue when setting hookless bait lines reduced attacks by black-footed Phoebastria nigripes and Laysan P. immutabilis albatrosses by 95% and 94% respectively, compared to lines set with un-dyed baits (measured as attacks/bird/100 branch lines). Twenty-four repeats of each treatment were used, set during the day to mimic longline setting for swordfish. ",RCT,2001,United States,North America,Yes,NA
5252,Use alley cropping,Natural Pest Control,"A paired, replicated, controlled study in 1991-1994 in West Yorkshire, UK (Griffiths et al. 1998) found more slugs in alley-cropped plots (averaging 14.3-20.6 slugs/pitfall trap) than in controls without trees (0.2-10.4 slugs) in 1992-1994. More roundback slugs Arion spp. occurred in alley-cropped plots (0.2-8.3 slugs/refuge trap) than in controls (0.0-0.3 slugs) in 1994. An average of 1.7-8.8 grey field slugs Derocerus reticulatum/refuge trap occurred in alley-cropped plots compared to 2.0-4.0 in controls in 1994. Within alley cropped plots, 5-8 roundback slugs and 6-9 grey field slugs/refuge trap were found in tree rows compared with 0-3 and 2-9 in crop alleys, respectively. The proportion of plants damaged by slugs was higher, and the number of emerging pea Pisum sativum plants was lower, next to tree rows than elsewhere in crop alleys or in the controls. Four plots of alley-cropped arable crops (using a wheat Triticum aestivum-barley Hordeum vulgare-pea rotation) were compared with paired, conventionally cropped controls. Rows of trees (containing five tree species) were established in 1987 and spaced 14 m apart. In 1994, slugs were sampled using 16 refuge traps (40 x 40 cm squares of roofing felt) in two pairs of alley-cropped plots and controls.",Control-Impact,1998,United Kingdom,Europe,Yes,NA
8250,Cease or prohibit all types of fishing in a marine protected area,Marine Fish Conservation,"A site comparison study in 1994–1997 of a surf-zone area in the Indian Ocean off the coast of South Africa (Cowley et al. 2002) found that four of four important shore-angling fish species were larger and more abundant in a marine park where all fishing was prohibited for over 16 years, compared to openly fished areas. Average fork lengths were greater inside the no-fishing marine park than fished areas for blacktail bream Diplodus sargus capensis (unfished: 284 mm, fished: 226 mm) zebra bream Diplodus cervinus hottentotus (unfished: 303 mm, fished: 248 mm) and galjoen Dichistius capensis (unfished: 365 mm, fished: 327 mm), and were similar for bronze bream Pachymetopon grande (unfished: 358 mm, fished: 354 mm). In addition, catch rates for all species were higher in the marine park (unfished: 4–13, fished: &lt;1–3 kg/100 angler hrs; data were not statistically tested). Fish data were collected from monthly research shore-angling between February 1995 and January 1997 in the Tsitsikamma National Park (80 km of coastline where all fishing is prohibited; shore-angling banned since 1978) and in fished areas extending either side of the park from roving surveys of recreational shore- angler catches between April 1994 and February 1996.",Control-Impact,2002,South Africa,Africa,Yes,NA
8360,Use a larger mesh size,Marine Fish Conservation,"A replicated, paired, controlled study in 1986-1996 of three coral reefs in the Caribbean Sea, Barbados (Robichaud et al. 1999) found that coral reef fish traps with larger mesh size reduced the catches of smaller and immature fish, compared to conventional traps of smaller mesh size. Across trials, average fish size was greater in large mesh traps of 5.5 cm maximum aperture than in conventional commercial traps of smaller 4.1 cm maximum aperture (large: 17 cm, conventional: 15–16 cm). The percentage of immature fish was also lower in the larger mesh traps (large: 4–16, conventional: 8–20%). However, catch rates of larger fish (body depth &gt;5.5 cm) were also lower in the large mesh traps (14–19 fish/trap) than conventional traps (30 fish/trap). Data were collected during two separate experiments in May 1986, 1990, 1991 and 1996, and February–June 1996. Two mesh sizes of Antillean arrowhead traps were tested: large mesh traps (mesh of maximum aperture 5.5 cm) and traps with the mesh size used in the Barbados commercial fishery (4.1 cm maximum aperture). In the experiment, traps were placed in pairs and fished for 1–4 days (46 traps/mesh size at three locations). In the second, 12 traps (three/mesh size) were randomly placed and fished for five days.",Control-Impact,1999,Barbados,North America,Yes,NA
1908,Add mulch before or after seeding/planting,Grassland Conservation,"A replicated, randomized, controlled study in 1981–1982 in two former pits used for disposal of waste from oil extraction in Texas, USA (McFarland et al. 1987) found that adding mulch after sowing seeds did not alter the density of six sown plant species in most cases compared to sowing without mulch. In 11 of 13 comparisons, after 6–7 months, the density of six plant species did not differ significantly between mulched and seeded areas (0–27 plants/m2) and unmulched and seeded areas (0–18 plants/m2). In two of 13 comparisons, there were more plants in mulched and seeded areas than in unmulched and seeded areas for king ranch bluestem Bothriochloa ischaemum (18 vs 2 plants/m2 respectively) and kleingrass Panicum coloratum (28 vs 1 plants/m2). Before seeding, each pit was covered with soil which was then disturbed using a tractor and fenced to exclude herbivores. At each site, in six 6.1 x 6.1 m plots, the seeds of either king ranch bluestem, Lehmann lovegrass Eragrostis lehmanniana, kleingrass, alkali sacaton Sporobolus airoides, kochia Kochia scoparia, or fourwing saltbush Atriplex canescens was sown, and mulch was applied to half of the plots. After 6–7 months, ten 0.5 x 0.5 m quadrats were placed in each plot and the number of seedlings counted.",RCT,1987,United States,North America,Yes,NA
7511,Thin trees to reduce wildfire risk,Terrestrial Mammal Conservation,"A replicated, controlled, before-and-after study in 1998–2003 of ponderosa pine Pinus ponderosa forest in Arizona, USA (Converse et al. 2006) found that reducing tree density increased abundances of two of four small mammal species. Deer mouse Peromyscus maniculatus and gray-collared chipmunk Tamias cinereicollis captures were both positively associated with decreasing tree density in treatment plots but golden-mantled ground squirrel Spermophilus lateralis and Mexican woodrat Neotoma exicana captures showed no such relationship. Results were presented as statistical model outputs. Three blocks, each with four 14-ha plots, were studied. Treatments comprised removal of all trees except those dating from pre-European settlement and, within 18 m of those trees, retention of 1.5, 2 or 3 trees with dbh ≥41 cm (or twice this many trees with smaller dbh, if larger trees not available). Thinning was conducted in 1999. Most woody debris was then piled up and burned, followed by prescribed burning of the whole plot in April–July 2000. The fourth plot in each block was unmanaged. Small mammals were live-trapped in August–October in 1998–1999 and 2001–2003.",BACI,2006,United States,North America,Yes,NA
2077,Provide artificial nesting sites for falcons,Bird Conservation,"A replicated study at reclaimed surface mine sites in West Virginia and Pennsylvania, USA (Wilmers 1982), found that American kestrels Falco sparverius preferentially used nest boxes sited away from a woodland edge; 10 of 65 (15%) woodland edge boxes were used compared with 47% located 50 m or more from a woodland edge. In 1980, 60 nest boxes were erected at 18 mines, and in 1981 a further 91 at 24 mines. Kestrels used 14 (23%) boxes on 10 of 18 (56%) mines in 1980, and 33 of 91 (36%) on 19 of 24 (79%) mines in 1981. Mine sites where boxes were used had significantly less bare ground cover and a deeper litter layer. ",After,1982,United States,North America,Yes,NA
3754,Provide supplementary food for songbirds to increase reproductive success,Bird Conservation,"A replicated, paired site study in 1984-1985 in 17 experimental and 17 control pairs of blue tit Parus caeruleus nests in Lund, Sweden (Nilsson &amp; Smith 1988), found that blue tit pairs that were artificially provisioned with food exhibited significantly greater reproductive success. Supplementary feeding significantly shortened the length of the incubation period. The probability that an egg would hatch was higher in provisioned nests than in control nests (98 and 90% of 198 and 199 eggs respectively). However, nestling survival up to 13 days did not differ between the pairs. Each pair was selected so that the last egg in both clutches was laid on the same date and the pairs nested in similar habitats. Four days after the last egg was laid, a container with 7 g of mealworms was placed into the experimental nest, while an empty container was placed into the control nest. Age and wing length did not differ between dyad pairs. ",Control-Impact,1988,Sweden,Europe,Yes,NA
8662,Use acoustic devices on fishing gear,Marine and Freshwater Mammal Conservation,"A replicated, randomized, controlled study in 2005 of multiple pelagic sites in the Mediterranean Sea, off the Balearic Islands, Spain (Brotons et al. 2008) found that one of three types of acoustic device attached to fishing nets reduced common bottlenose dolphin Tursiops truncatus interactions with the nets. The average interaction rate of bottlenose dolphins with nets was 70% lower when active Aquatec AQUAmark 210 devices were attached to nets than when inactive devices or no devices were attached (data reported as statistical model results). The difference in interaction rates was not significant for two other types of acoustic device: Dukane NetMark 1000 and SaveWave Dolphinsaver High-impact. Target fish yields (measured as profit) did not differ significantly between treatments (see original paper for details). A total of 1,193 gill nets were deployed on the ocean bottom at multiple sites (number not reported). One of seven treatments was randomly assigned to each net: one of three types of active acoustic device attached (Aquatec: 260 nets; Dukane: 272 nets; SaveWave: 211 nets), one of three types of inactive (silent) acoustic device attached (Aquatec: 118 nets; Dukane: 74 nets; SaveWave: 114 nets) or no device attached (144 nets). Observers on board each of 59 fishing vessels recorded dolphin interactions (sightings of dolphins around the nets or dolphin-damaged fish) in July–December 2005.",RCT,2008,Spain,Europe,Yes,NA
5425,Install and maintain cave gates to restrict public access,Bat Conservation,"A before-and-after study in 2002–2008 at a cave system in forested mountains of Turkey (Paksuz &amp; Özkan 2012) found that installing cave gates, along with other restrictions to reduce human disturbance, resulted in an increase in the number of 15 bat species using two caves in the system. Maximum counts of bats in the two caves were higher after the cave system was opened to tourism and cave gates and other restrictions were put in place (before: 42,800 hibernating and 7,900 breeding bats; after: 54,600 hibernating and 11,000 breeding bats). The study does not distinguish between the effects of cave gating and other interventions carried out at the same time. A third cave in the system, which remained ungated and closed to tourism, had similar numbers of bats throughout the study period. Before opening to tourism, recreational users had made frequent uncontrolled visits to the caves. After opening for tourism in 2003, gates were installed on two cave entrances (horizontal iron bars with 200 mm spacing), daily and seasonal timing of tourist visits were controlled, information signs were erected, and lights were switched off outside of visiting times. Bat colonies were counted every 40 days with 15 surveys before (2002–2004) and 38 surveys after opening to tourism (2004–2008). Update 2018: The findings of this study have been challenged, see Furman et al. 2012.Furman A., Çoraman E. &amp; Bilgin R. (2012) Bats and tourism: a response to Paksuz &amp; Özkan. Oryx, 46, 330–330.",Before-After,2012,Turkey,Europe,Yes,NA
9670,Create short flexible habitats (1–50 mm) on subtidal artificial structures,Biodiversity of Marine Artificial Structures,"A replicated, randomized, controlled study in 2012–2013 on a subtidal dock in Sydney Harbour estuary, Australia (Lavender et al. 2017) found that creating short flexible habitats (polyethylene turf) on settlement plates altered the non-mobile invertebrate community composition on plates and had mixed effects on the mobile invertebrate community composition and invertebrate abundances, depending on the turf length and species group. After three months, non-mobile invertebrate community composition differed on settlement plates with longer and shorter turf, and both differed to plates without turf (data reported as statistical model results). Plates with longer turf also supported different mobile invertebrate composition to plates with shorter turf and without turf, which were similar. Non-mobile invertebrates were less abundant on plates with turf (0–7% cover) than without (4–28%) in nine of 14 comparisons, but similar in the other five comparisons (with turf: 5–25%; without: 4–28%). Mobile invertebrates were more abundant on plates with turf (2–324 individuals/plate) than without (0–50/plate) in 22 of 28 comparisons, but similar in six comparisons (with turf: 2–58/plate; without: 1–50/plate). Plastic settlement plates (100 × 100 mm) were made with and without short flexible habitats (polyethylene turf). Plates with turf had either longer (18 mm) or shorter (2–3 mm) blades (1.5 mm width). Twelve of each were randomly arranged at 3 m depth beneath a dock with turf facing downwards in October 2012. Invertebrates on plates were counted in the laboratory after three months.",RCT,2017,Australia,Oceania,Yes,NA
5021,Add woody debris to landscapes,Reptile Conservation,"A replicated, randomized, controlled study in 2002–2005 of pine stands in South Carolina, USA (Owens et al. 2008, same experimental set-up as Davis et al. 2010) found that adding coarse woody debris (downed or standing) did not increase reptile abundance, species richness or diversity compared to areas with no debris added. Plots with added woody debris (downed and standing) were similar to unmanipulated plots in terms of reptile abundance (debris added: 0.3–0.5 individuals/plot vs unmanipulated: 0.4), richness (5–7 species vs. 7) and diversity (10–17 vs. x 13, Shannon-Weiner diversity index). Reptile richness was higher in plots with added downed debris (7 species) compared to plots with added standing debris (5 species). In 2002–2005, nine ha plots within three forest blocks had either downed woody debris added (3 plots, increased five-fold); standing woody debris added (3 plots, increased 10-fold) or were left unmanaged (3 plots). In 2002–2005, fourteen days of sampling were carried out each season (except in spring 2004, when there were 28 days) using drift fences with pit-fall traps.",RCT,2008,United States,North America,Yes,NA
5021,Leave standing deadwood/snags in forests,Amphibian Conservation,"A randomized, replicated, controlled study in 1998–2005 of pine stands in South Carolina, USA (Owens et al. 2008) found that amphibian abundance, species richness and diversity did not differ with removal or creation of snags within forest. Abundance, species richness and diversity did not differ significantly between plots with 10-fold increase in snags (1/night; 7; 17 respectively), removal of all snags and downed course woody debris (2; 7; 18) and unmanipulated controls (2; 7; 19). Captures of anurans, salamanders and six individual species did not differ between treatments. Treatments were randomly assigned to 9 ha plots within three forest blocks. The first set of treatments was undertaken in 1996–2001 and the second set in 2002–2005. Five drift-fence arrays with pitfall traps/plot were used for sampling in 1998–2005. ",RCT,2008,United States,North America,Yes,NA
